genes	pvalue	padj
0610039H22Rik	0.243470189	0.9998431
Lrp2	0.243532104	0.9998431
Tubg1	0.243546194	0.9998431
Neurl1b	0.243574062	0.9998431
Trim62	0.24360315	0.9998431
Tmem256	0.243605429	0.9998431
Brf1	0.243630634	0.9998431
Hist1h3f	0.243729945	0.9998431
Ppm1j	0.244082977	0.9998431
Nsun5	0.244117945	0.9998431
A930031H19Rik	0.244239433	0.9998431
Med4	0.244241148	0.9998431
Them7	0.244251453	0.9998431
Jag2	0.244387275	0.9998431
4930578I06Rik	0.244396183	0.9998431
Smarcal1	0.244402595	0.9998431
Rpp25	0.244406647	0.9998431
Mir344-2	0.24441279	0.9998431
Cbx7	0.244429391	0.9998431
Gnaz	0.244492007	0.9998431
Smc2os	0.244515361	0.9998431
Banf1	0.244564362	0.9998431
2210011C24Rik	0.244619321	0.9998431
Mir325	0.244643792	0.9998431
Dusp16	0.244679113	0.9998431
Gm15713	0.244696618	0.9998431
4930453H23Rik	0.244720718	0.9998431
Cntn4	0.244733666	0.9998431
Chad	0.244836587	0.9998431
Klf10	0.244838132	0.9998431
Pbx4	0.244851248	0.9998431
Cybrd1	0.244949426	0.9998431
C8a	0.244981947	0.9998431
Atp1b1	0.245034211	0.9998431
Sdpr	0.245056237	0.9998431
Ncoa3	0.245147483	0.9998431
Mir202	0.245221832	0.9998431
Cep41	0.245247252	0.9998431
Ly6d	0.245307435	0.9998431
Ash1l	0.245315036	0.9998431
Col9a1	0.245422182	0.9998431
Gtf3c3	0.245423294	0.9998431
Xiap	0.245485643	0.9998431
Slc12a6	0.245548427	0.9998431
Luc7l	0.245550479	0.9998431
Synj1	0.245561785	0.9998431
Prss22	0.245631436	0.9998431
Zfp747	0.24580875	0.9998431
Gm11541	0.245819282	0.9998431
Ddx18	0.2458914	0.9998431
Nkain3	0.246041772	0.9998431
Galk1	0.246077312	0.9998431
Akap17b	0.246207641	0.9998431
Rims1	0.246219447	0.9998431
Rufy2	0.24624275	0.9998431
Plcd1	0.246253853	0.9998431
Mrpl50	0.246380442	0.9998431
4930444P10Rik	0.246426242	0.9998431
Parp14	0.246467053	0.9998431
Cops8	0.246493236	0.9998431
Pdzd8	0.246503304	0.9998431
6330403K07Rik	0.246739081	0.9998431
Tstd1	0.246802712	0.9998431
1700080N15Rik	0.246807251	0.9998431
Npsr1	0.246856442	0.9998431
Yod1	0.246982379	0.9998431
Gm32014	0.247033218	0.9998431
Ms4a3	0.247093287	0.9998431
Arap3	0.247105468	0.9998431
Fut7	0.247110066	0.9998431
Tmem138	0.247164944	0.9998431
Ptpn9	0.247219229	0.9998431
1810041H14Rik	0.247221851	0.9998431
Tbx18	0.247254266	0.9998431
Antxr1	0.247315063	0.9998431
Proz	0.24733046	0.9998431
Tctn1	0.247444029	0.9998431
Bsn	0.24753954	0.9998431
Spry2	0.247552966	0.9998431
Abcd2	0.247647387	0.9998431
Prkdc	0.247657498	0.9998431
4930545L23Rik	0.247665348	0.9998431
Slc18a2	0.247719276	0.9998431
Ppapdc2	0.247832038	0.9998431
Il12b	0.247919487	0.9998431
Zmym3	0.247956361	0.9998431
Lpcat2b	0.248090207	0.9998431
Gm11545	0.248169958	0.9998431
Pddc1	0.248212592	0.9998431
Fcer1g	0.248241284	0.9998431
Lsm1	0.248298618	0.9998431
Pycrl	0.248345537	0.9998431
Myom3	0.248438837	0.9998431
Sbk3	0.248455013	0.9998431
Akr1c21	0.248507327	0.9998431
Snord87	0.248552183	0.9998431
Apol7e	0.248646953	0.9998431
Crebrf	0.248720764	0.9998431
4933425B07Rik	0.248728361	0.9998431
Gja3	0.248862928	0.9998431
Ccdc15	0.248872806	0.9998431
4930577N17Rik	0.248908397	0.9998431
Npy2r	0.248937208	0.9998431
Slc27a3	0.248991149	0.9998431
1600002H07Rik	0.249049916	0.9998431
B9d2	0.24911518	0.9998431
Mir99ahg	0.249130356	0.9998431
Ptgfrn	0.249137057	0.9998431
Cab39l	0.249200805	0.9998431
Ankk1	0.249237238	0.9998431
Gsta4	0.249327677	0.9998431
Rab11a	0.249329531	0.9998431
Gm16596	0.249358355	0.9998431
Cask	0.249402072	0.9998431
Slc9a3r1	0.249420635	0.9998431
Trpv3	0.249426112	0.9998431
Frs3os	0.249463616	0.9998431
4933407E24Rik	0.249499647	0.9998431
Psme1	0.249510564	0.9998431
Zfp384	0.249517339	0.9998431
Hdac6	0.249590282	0.9998431
Fto	0.249622921	0.9998431
Pten	0.249708247	0.9998431
Mir7042	0.249829115	0.9998431
Mir7051	0.249854291	0.9998431
Tm9sf4	0.249932035	0.9998431
Mir222	0.250028771	0.9998431
9130409J20Rik	0.250045717	0.9998431
Utp6	0.250054691	0.9998431
Pid1	0.25015769	0.9998431
Vsig10	0.250170137	0.9998431
Iqgap3	0.250172585	0.9998431
Defb25	0.25023528	0.9998431
Pdpr	0.250274331	0.9998431
Tpsb2	0.250320387	0.9998431
Vapb	0.250358391	0.9998431
Taf9b	0.250448602	0.9998431
Ksr2	0.250458418	0.9998431
Slc4a1	0.250532922	0.9998431
Trim72	0.250740748	0.9998431
Ly6c1	0.250779269	0.9998431
Tmem28	0.250832067	0.9998431
Psg19	0.250881798	0.9998431
Bmf	0.250932625	0.9998431
Bmp6	0.250969366	0.9998431
4930519F24Rik	0.251019236	0.9998431
Chst10	0.251033094	0.9998431
Tlr6	0.251197731	0.9998431
Vmn1r30	0.251250239	0.9998431
Iqsec1	0.251285392	0.9998431
Ube3c	0.251309198	0.9998431
Neto2	0.25133039	0.9998431
Arhgef39	0.251330721	0.9998431
Mir6399	0.251375664	0.9998431
Plscr2	0.251386799	0.9998431
1700007B14Rik	0.251428369	0.9998431
St8sia3	0.251437907	0.9998431
Igsf5	0.251501841	0.9998431
Sctr	0.251577865	0.9998431
Rbm24	0.251640226	0.9998431
4930425O10Rik	0.251681176	0.9998431
Clec3a	0.251796116	0.9998431
Afp	0.251832148	0.9998431
Phf20l1	0.251844238	0.9998431
Sspo	0.252009653	0.9998431
Car4	0.25218882	0.9998431
Csnk1d	0.25223849	0.9998431
Sgip1	0.252272573	0.9998431
Zbtb45	0.252286195	0.9998431
Scrn2	0.252318844	0.9998431
Gabrb3	0.252381227	0.9998431
Cntn6	0.25238876	0.9998431
4922502D21Rik	0.252555123	0.9998431
Olfr455	0.252606549	0.9998431
Lsm2	0.252617434	0.9998431
Wnk3	0.252689353	0.9998431
Elf5	0.252694669	0.9998431
Fbxo7	0.252731106	0.9998431
Lin52	0.252742932	0.9998431
Cdca2	0.25276555	0.9998431
4921530L21Rik	0.252780881	0.9998431
Efcab12	0.252810807	0.9998431
Ccdc6	0.252812011	0.9998431
Mab21l1	0.252824654	0.9998431
Cenpp	0.252875864	0.9998431
Mir5123	0.252960457	0.9998431
Asf1a	0.253012671	0.9998431
Cpt1c	0.253132919	0.9998431
Bscl2	0.253185716	0.9998431
Particl	0.25319453	0.9998431
Spock2	0.253251732	0.9998431
Jakmip3	0.253254701	0.9998431
Fam63b	0.253264571	0.9998431
Gm684	0.253278814	0.9998431
Tes	0.253309708	0.9998431
Mmp28	0.253330036	0.9998431
4930448I18Rik	0.253365045	0.9998431
Mpi	0.253373538	0.9998431
Tymp	0.253385739	0.9998431
Khdrbs2	0.253419206	0.9998431
1700084E18Rik	0.253778019	0.9998431
Lmf2	0.253876338	0.9998431
Pcdha8	0.253924158	0.9998431
Cox7a2	0.25427126	0.9998431
Rpl29	0.254295003	0.9998431
Six3os1	0.254297184	0.9998431
Mir684-1	0.254380309	0.9998431
Kif3c	0.25451588	0.9998431
Slc25a33	0.254528689	0.9998431
Uri1	0.254618456	0.9998431
Zkscan2	0.254643811	0.9998431
Slc23a1	0.25471305	0.9998431
Zfp661	0.254727594	0.9998431
Ppp1r37	0.254796519	0.9998431
Gm6756	0.254837994	0.9998431
Skil	0.254879836	0.9998431
Snora21	0.254880499	0.9998431
Gm10433	0.254926695	0.9998431
Gstp1	0.254999829	0.9998431
Prdm1	0.255006313	0.9998431
4932415M13Rik	0.255010491	0.9998431
F830045P16Rik	0.255019489	0.9998431
Pdia5	0.255075006	0.9998431
Ufm1	0.255090586	0.9998431
9130015A21Rik	0.255090942	0.9998431
Prkacb	0.255101922	0.9998431
C130071C03Rik	0.255203439	0.9998431
Cdc42bpa	0.255216447	0.9998431
Fscb	0.255310904	0.9998431
A630020A06	0.255414735	0.9998431
Zfp275	0.255447694	0.9998431
Htr4	0.255479621	0.9998431
Gm3383	0.255647217	0.9998431
Gsg1	0.255809427	0.9998431
Cbln1	0.255829249	0.9998431
Muc15	0.255949385	0.9998431
Fam101b	0.25608432	0.9998431
2700094K13Rik	0.256169399	0.9998431
Taf1a	0.256212627	0.9998431
Mmachc	0.256219496	0.9998431
Nostrin	0.256235485	0.9998431
Ptprn2	0.256263433	0.9998431
C130046K22Rik	0.256279455	0.9998431
Ufsp2	0.256367988	0.9998431
Nudt4	0.256417518	0.9998431
6720468P15Rik	0.256430627	0.9998431
Brcc3	0.256727531	0.9998431
Trappc8	0.256758381	0.9998431
Gfral	0.256924508	0.9998431
Snord15b	0.25700294	0.9998431
Nkpd1	0.25702426	0.9998431
4933408B17Rik	0.257085172	0.9998431
1700025F24Rik	0.257138891	0.9998431
Mdga2	0.257186383	0.9998431
Prex2	0.25718804	0.9998431
Focad	0.257295758	0.9998431
Tnfrsf11b	0.257314514	0.9998431
B430212C06Rik	0.257380023	0.9998431
Tmco4	0.257381704	0.9998431
Guk1	0.257542792	0.9998431
Fbxo3	0.257714916	0.9998431
Pan2	0.257730768	0.9998431
Stmnd1	0.257741821	0.9998431
Spsb4	0.257766068	0.9998431
Rps9	0.257772713	0.9998431
E2f5	0.257830338	0.9998431
Rpl7a	0.257889404	0.9998431
Pcdhgc3	0.257922376	0.9998431
1700026D08Rik	0.257992066	0.9998431
Fdxr	0.257999653	0.9998431
Msx3	0.258007524	0.9998431
Smn1	0.258019473	0.9998431
Bicc1	0.25812926	0.9998431
Eml6	0.258164775	0.9998431
Wdr26	0.258181058	0.9998431
Slc16a4	0.258237911	0.9998431
Chd9	0.258280162	0.9998431
Rmi2	0.258443981	0.9998431
Anapc15	0.258534025	0.9998431
Ppargc1b	0.258563514	0.9998431
Mmgt2	0.258666892	0.9998431
Adsl	0.258809688	0.9998431
Clk2-scamp3	0.258827604	0.9998431
Teddm3	0.258848907	0.9998431
Wdr37	0.258904839	0.9998431
Lamtor4	0.258936095	0.9998431
Serpinb5	0.258956564	0.9998431
Zfp36l1	0.258958042	0.9998431
Ybey	0.258984836	0.9998431
Etf1	0.259004026	0.9998431
Lmo1	0.259145169	0.9998431
Smu1	0.25915613	0.9998431
Kdm6a	0.25917441	0.9998431
8430429K09Rik	0.259180362	0.9998431
Atp2c1	0.259231474	0.9998431
Gcm2	0.259277572	0.9998431
Zfp958	0.259481138	0.9998431
Cd36	0.259523321	0.9998431
Mpp3	0.259575352	0.9998431
Lgals1	0.25960386	0.9998431
Farsa	0.259613396	0.9998431
Pih1d1	0.259614275	0.9998431
Tex14	0.259733803	0.9998431
Kcnj14	0.259768182	0.9998431
Rpl28	0.259786148	0.9998431
Camkv	0.259882837	0.9998431
Platr21	0.25992835	0.9998431
Mir99a	0.260095117	0.9998431
Mir425	0.260380144	0.9998431
Usp51	0.260407952	0.9998431
Ikzf2	0.260440522	0.9998431
Xlr3a	0.260513023	0.9998431
Gng4	0.260520904	0.9998431
Nr1d1	0.260522699	0.9998431
1700125G02Rik	0.260538288	0.9998431
Grhpr	0.260609149	0.9998431
Eva1c	0.260683341	0.9998431
Gstm1	0.260686495	0.9998431
4930483J18Rik	0.260736486	0.9998431
Prickle3	0.26084824	0.9998431
Gigyf1	0.26087191	0.9998431
Utp18	0.260874501	0.9998431
Ubn2	0.26087603	0.9998431
Adcy8	0.260915242	0.9998431
Dennd3	0.260983283	0.9998431
Mir7037	0.260986918	0.9998431
4933402E13Rik	0.261050832	0.9998431
Clec4a1	0.261107896	0.9998431
Ttc37	0.261182084	0.9998431
Fsd1l	0.261186751	0.9998431
Pigh	0.261212246	0.9998431
Prss23	0.261223376	0.9998431
Adgrd1	0.261255375	0.9998431
Zfp799	0.261267318	0.9998431
Sp1	0.261269543	0.9998431
Hps6	0.261283527	0.9998431
Gatsl3	0.261335443	0.9998431
Clec11a	0.261336588	0.9998431
Kcna2	0.261421714	0.9998431
Sdc1	0.261440585	0.9998431
Hnrnpm	0.261460225	0.9998431
Rdh1	0.261574456	0.9998431
Pde6b	0.261601494	0.9998431
Rasgef1b	0.261735485	0.9998431
Krt2	0.261770053	0.9998431
Hhat	0.261794384	0.9998431
Cd82	0.261800099	0.9998431
Mcoln2	0.261992517	0.9998431
Fam178b	0.262011321	0.9998431
Pcdh11x	0.262082372	0.9998431
Dynlt1a	0.262086311	0.9998431
Psmb10	0.262126815	0.9998431
Mir6403	0.262183566	0.9998431
Cuedc1	0.262237481	0.9998431
Fam114a1	0.262242361	0.9998431
D330045A20Rik	0.262242719	0.9998431
2210416O15Rik	0.262275172	0.9998431
BC030870	0.262285549	0.9998431
Sgca	0.262402677	0.9998431
Gm4566	0.262454614	0.9998431
Onecut3	0.262500395	0.9998431
Cd300lf	0.262530913	0.9998431
43531	0.262544401	0.9998431
Nkain4	0.262739542	0.9998431
Zgpat	0.262846746	0.9998431
Pik3ip1	0.262900293	0.9998431
Fsbp	0.262934745	0.9998431
Lamp5	0.26296256	0.9998431
Dyx1c1	0.263015656	0.9998431
Gtf2a1l	0.263040049	0.9998431
Nr0b2	0.263043877	0.9998431
Hmgn2	0.263045546	0.9998431
Zfp955b	0.263104885	0.9998431
Kcnq5	0.263145731	0.9998431
0610037L13Rik	0.263158136	0.9998431
Tha1	0.26322467	0.9998431
Dpys	0.263289664	0.9998431
Mir26a-1	0.263360843	0.9998431
Mif4gd	0.263381782	0.9998431
Lgalsl	0.263404672	0.9998431
Extl3	0.263434451	0.9998431
Cdk2ap1	0.263589418	0.9998431
Oraov1	0.263656963	0.9998431
Nr1h5	0.263696929	0.9998431
6030498E09Rik	0.263776814	0.9998431
Mirlet7f-1	0.263937873	0.9998431
Whamm	0.26413521	0.9998431
Zmym6	0.264147363	0.9998431
Anapc2	0.264327455	0.9998431
Dnajc27	0.264328696	0.9998431
Ephx4	0.264345376	0.9998431
Rpl27	0.264397511	0.9998431
Stk36	0.264588775	0.9998431
Epx	0.26461722	0.9998431
BC055402	0.264703637	0.9998431
1700096K18Rik	0.264710959	0.9998431
4932438A13Rik	0.264723713	0.9998431
Bcdin3d	0.26477721	0.9998431
4931414P19Rik	0.26479581	0.9998431
A930001A20Rik	0.265031963	0.9998431
Syt9	0.26503441	0.9998431
Ntrk2	0.265085253	0.9998431
Fzd1	0.2651255	0.9998431
Hps1	0.265188113	0.9998431
Odf2	0.265229547	0.9998431
BC030500	0.265252366	0.9998431
Cyp11a1	0.265264876	0.9998431
Cldn5	0.26532779	0.9998431
Stox1	0.26542645	0.9998431
Slc15a3	0.265559518	0.9998431
1300017J02Rik	0.265697776	0.9998431
Snx32	0.26577505	0.9998431
Mfap4	0.265830982	0.9998431
G630093K05Rik	0.265843643	0.9998431
Gpatch2	0.266016626	0.9998431
Scgn	0.266099497	0.9998431
Olfr689	0.266142884	0.9998431
Cmtm3	0.266194452	0.9998431
Snord88a	0.266239792	0.9998431
Rasgef1c	0.266400441	0.9998431
Zfp58	0.266409407	0.9998431
Enpp1	0.266421469	0.9998431
Pdha1	0.266447011	0.9998431
Ccdc24	0.266479235	0.9998431
Cox16	0.266539066	0.9998431
Cmtm2b	0.266548468	0.9998431
Wnt6	0.266600762	0.9998431
Kdm5a	0.266608744	0.9998431
Chrnb2	0.266640856	0.9998431
4931406C07Rik	0.266679652	0.9998431
Avl9	0.266759864	0.9998431
Zfp449	0.266770522	0.9998431
Dnajc10	0.267055979	0.9998431
Zdhhc4	0.2670827	0.9998431
Hapln3	0.267265742	0.9998431
Slc9a5	0.267347518	0.9998431
Psmb11	0.267462634	0.9998431
Mir369	0.267569178	0.9998431
Zfp518a	0.26768522	0.9998431
D930020B18Rik	0.2677449	0.9998431
AI662270	0.26775418	0.9998431
Taz	0.267767486	0.9998431
Tollip	0.267879212	0.9998431
Gpr182	0.267879864	0.9998431
Dffa	0.267910628	0.9998431
A930006I01Rik	0.267995286	0.9998431
Gm5148	0.268007688	0.9998431
Cdh26	0.268031702	0.9998431
Eif3k	0.268055702	0.9998431
Sirt4	0.268078769	0.9998431
Egfem1	0.268088351	0.9998431
Adgrl3	0.268150536	0.9998431
Chrm4	0.268244577	0.9998431
Cep89	0.268267571	0.9998431
Tmsb15b2	0.268309173	0.9998431
Rplp1	0.268351034	0.9998431
Il11ra1	0.26837783	0.9998431
Zfp663	0.26846474	0.9998431
Gbe1	0.268616474	0.9998431
Stxbp1	0.268777106	0.9998431
Snx6	0.268819074	0.9998431
AW554918	0.268890943	0.9998431
Gstcd	0.268896404	0.9998431
Gm9159	0.268909349	0.9998431
Stac3	0.269101493	0.9998431
Ppp1r14b	0.269111776	0.9998431
Fzd3	0.269142308	0.9998431
Nefm	0.269148013	0.9998431
Gria4	0.269179732	0.9998431
Rit2	0.269251262	0.9998431
Pdcd6ip	0.269345718	0.9998431
Shroom2	0.269360921	0.9998431
Ciz1	0.269487261	0.9998431
Rpl17	0.269506859	0.9998431
Adgrb3	0.269711486	0.9998431
Susd2	0.269747542	0.9998431
Lrrc16a	0.2697959	0.9998431
Plekhm3	0.269951937	0.9998431
Xdh	0.270018541	0.9998431
Ubr5	0.270036524	0.9998431
Itgam	0.270112458	0.9998431
Smarcd1	0.270117034	0.9998431
Usp39	0.270222112	0.9998431
Rpsa	0.270237642	0.9998431
Lman1l	0.270257912	0.9998431
1700071K01Rik	0.270310127	0.9998431
Rpl7	0.270328099	0.9998431
Nudcd3	0.270347312	0.9998431
Dclre1b	0.270449031	0.9998431
Gm10785	0.270455295	0.9998431
Fam214a	0.270486697	0.9998431
Rnase4	0.270531116	0.9998431
Mir8111	0.270544505	0.9998431
Zfp189	0.27067294	0.9998431
Nudcd2	0.27076703	0.9998431
Klhl26	0.270850638	0.9998431
Foxj2	0.27100983	0.9998431
Plac8l1	0.27109627	0.9998431
Zfyve1	0.271171619	0.9998431
Cyp27a1	0.271195991	0.9998431
Acot1	0.2712429	0.9998431
Mgst2	0.271287032	0.9998431
Pnpla2	0.271294501	0.9998431
Eif2b3	0.271310411	0.9998431
Gm6277	0.271370948	0.9998431
Gata2	0.271486499	0.9998431
Adgrf3	0.271500796	0.9998431
Zfp389	0.271636744	0.9998431
Gnaq	0.271707305	0.9998431
Alkbh6	0.271710008	0.9998431
Atg4b	0.271782774	0.9998431
Slc17a5	0.271785825	0.9998431
Fam96a	0.271875104	0.9998431
Dnajb7	0.271982582	0.9998431
Prr5	0.272005616	0.9998431
Ssc4d	0.272072783	0.9998431
Nrcam	0.272110654	0.9998431
1700066B19Rik	0.272142845	0.9998431
Trpc4	0.272262832	0.9998431
Tmem11	0.272306323	0.9998431
Simc1	0.272392734	0.9998431
Mrps10	0.272426497	0.9998431
Gnb4	0.272475746	0.9998431
Spata16	0.272579181	0.9998431
Serpini1	0.272591203	0.9998431
Ntmt1	0.272638379	0.9998431
Mug2	0.272650807	0.9998431
Ccnt1	0.272657657	0.9998431
Acss1	0.27271115	0.9998431
Fth1	0.27279283	0.9998431
Dtd2	0.27281303	0.9998431
Skiv2l	0.272989599	0.9998431
Trappc11	0.272999883	0.9998431
Calb1	0.273085111	0.9998431
Map3k15	0.273178953	0.9998431
Rnaseh2a	0.273207594	0.9998431
Cdkn2aipnl	0.27324657	0.9998431
1810024B03Rik	0.27331527	0.9998431
Fam178a	0.273372207	0.9998431
Tnfrsf11a	0.273432303	0.9998431
C2	0.273475467	0.9998431
Lrrc19	0.273564768	0.9998431
Tmx1	0.273655955	0.9998431
Osr1	0.273683598	0.9998431
Akip1	0.273688766	0.9998431
Arhgap6	0.273694707	0.9998431
Wdr13	0.273745694	0.9998431
Klrg2	0.273755491	0.9998431
4930550C14Rik	0.273776397	0.9998431
Bloc1s1	0.273776974	0.9998431
Slfn10-ps	0.273827225	0.9998431
Prap1	0.273830385	0.9998431
Nell2	0.274114949	0.9998431
Hormad2	0.274168828	0.9998431
Ralb	0.27420466	0.9998431
Kcnh4	0.274236523	0.9998431
Patz1	0.274252998	0.9998431
Scn11a	0.274256056	0.9998431
Tecr	0.27429016	0.9998431
Slitrk4	0.274330058	0.9998431
Vamp4	0.274524359	0.9998431
Leng9	0.274530586	0.9998431
Foxf2	0.274531531	0.9998431
Pts	0.274779647	0.9998431
Npr2	0.274858808	0.9998431
Pigr	0.274877789	0.9998431
Prr7	0.27492907	0.9998431
Mon1a	0.274935427	0.9998431
Mtmr7	0.275033717	0.9998431
1810053B23Rik	0.275046339	0.9998431
Il17d	0.275070301	0.9998431
Nucks1	0.275136336	0.9998431
Kif21b	0.27530739	0.9998431
Ubxn1	0.275317519	0.9998431
Slc6a13	0.275321121	0.9998431
Gucy1a2	0.275382324	0.9998431
Arhgap20	0.275458649	0.9998431
Zgrf1	0.27554764	0.9998431
Fahd1	0.275646913	0.9998431
Gm12530	0.275681131	0.9998431
Fut4-ps1	0.275699528	0.9998431
Mir221	0.275703307	0.9998431
Hoxa7	0.275720943	0.9998431
Slc25a31	0.27578077	0.9998431
Rpl18	0.275857302	0.9998431
Ripk3	0.276108985	0.9998431
Map4k2	0.276130265	0.9998431
Snap23	0.276136535	0.9998431
D16Ertd519e	0.276145303	0.9998431
Nr3c1	0.276166689	0.9998431
Gpd1l	0.276171234	0.9998431
Foxd2os	0.276177805	0.9998431
Rspo3	0.276199563	0.9998431
Stx19	0.276276565	0.9998431
1700057H21Rik	0.276318983	0.9998431
Klri2	0.276344731	0.9998431
Meis3	0.276469308	0.9998431
Rdh13	0.276494257	0.9998431
Ube2z	0.276780708	0.9998431
Mdm4	0.276789029	0.9998431
Gm38426	0.276828029	0.9998431
Slc22a6	0.277097174	0.9998431
Pld4	0.277143734	0.9998431
Tex30	0.277164549	0.9998431
Rpa2	0.277200623	0.9998431
Galr3	0.277305974	0.9998431
Pcdha10	0.277332709	0.9998431
Actn3	0.277363427	0.9998431
Pcnx	0.277387113	0.9998431
Vsnl1	0.277417383	0.9998431
Hnrnph3	0.277536189	0.9998431
Hist1h2ah	0.277592002	0.9998431
H2-Ke6	0.277645196	0.9998431
Pck2	0.27769321	0.9998431
Mroh8	0.277712645	0.9998431
Ccdc142	0.277730333	0.9998431
Shfm1	0.277764638	0.9998431
Pnpt1	0.277777154	0.9998431
Slc25a36	0.27778398	0.9998431
Wasl	0.277814325	0.9998431
Trpt1	0.277848388	0.9998431
Rassf1	0.277977493	0.9998431
4930484H19Rik	0.27805174	0.9998431
Grin3a	0.278051896	0.9998431
Mrps26	0.278192317	0.9998431
Ndst1	0.278240624	0.9998431
Crb1	0.278346626	0.9998431
Rbm44	0.278425534	0.9998431
Tgoln1	0.27858483	0.9998431
Fdps	0.278645215	0.9998431
Snrpb2	0.278745718	0.9998431
Mir3474	0.278778464	0.9998431
2810442N19Rik	0.278816195	0.9998431
Lyplal1	0.278870816	0.9998431
Efcab8	0.278879602	0.9998431
Pcdhb17	0.278905612	0.9998431
Cmtm4	0.278962658	0.9998431
Serping1	0.279004819	0.9998431
Cilp	0.2790267	0.9998431
Bcl2l2	0.279096031	0.9998431
Elof1	0.27912981	0.9998431
Pgm2	0.279142483	0.9998431
Dnajc11	0.279187796	0.9998431
Cd8b1	0.279228143	0.9998431
Fech	0.279233255	0.9998431
4930415F15Rik	0.279355	0.9998431
4921539E11Rik	0.27938195	0.9998431
A830052D11Rik	0.279390689	0.9998431
Daglb	0.279399865	0.9998431
Ppp1r9a	0.279401377	0.9998431
Jmjd1c	0.279421563	0.9998431
Lgals7	0.279493521	0.9998431
A230070E04Rik	0.279508922	0.9998431
Gm9962	0.27954221	0.9998431
Klhl42	0.279567234	0.9998431
Pdzk1ip1	0.279586671	0.9998431
Ccdc82	0.279588235	0.9998431
Cldn14	0.279595155	0.9998431
Hdac8	0.279736724	0.9998431
Nup43	0.279744456	0.9998431
Zfp827	0.279749523	0.9998431
Evi5	0.279752502	0.9998431
Timm8a1	0.27987307	0.9998431
Nle1	0.279955461	0.9998431
4930425K10Rik	0.280072969	0.9998431
Fam132a	0.280159914	0.9998431
Vps26b	0.280184207	0.9998431
Sox1	0.28041251	0.9998431
Dpm2	0.28059124	0.9998431
Pcdhgb8	0.280622049	0.9998431
Cidea	0.280639372	0.9998431
Cyp51	0.280739886	0.9998431
Meig1	0.280768205	0.9998431
Tnfrsf22	0.280775812	0.9998431
Cdc42ep2	0.280862602	0.9998431
Elk4	0.280899296	0.9998431
Ranbp2	0.280928894	0.9998431
Dbn1	0.280941988	0.9998431
Igsf9b	0.281002401	0.9998431
Vat1l	0.281030285	0.9998431
Acap2	0.281060503	0.9998431
D130017N08Rik	0.281097548	0.9998431
Traf3ip1	0.281228136	0.9998431
Ucp3	0.281235008	0.9998431
Pter	0.281259672	0.9998431
Zfp689	0.281380919	0.9998431
A930024E05Rik	0.281441454	0.9998431
H3f3a	0.281536057	0.9998431
Ip6k3	0.281555722	0.9998431
Sec61b	0.28157473	0.9998431
Galns	0.281601418	0.9998431
Hacd1	0.281617023	0.9998431
Trim71	0.281649515	0.9998431
Cabyr	0.281710133	0.9998431
Clec4g	0.281727698	0.9998431
Tmem92	0.281769836	0.9998431
Tnfrsf18	0.281886019	0.9998431
Haus6	0.282068984	0.9998431
Mecom	0.282106543	0.9998431
Nupl1	0.282127633	0.9998431
Sh3gl1	0.282203052	0.9998431
Lrrc31	0.282250425	0.9998431
Kif13b	0.282253979	0.9998431
Efna5	0.282285659	0.9998431
Tyr	0.282405633	0.9998431
E130008D07Rik	0.282415464	0.9998431
Ebag9	0.282441332	0.9998431
Prmt5	0.28255779	0.9998431
Cdkl5	0.282629541	0.9998431
Gm766	0.282633248	0.9998431
G630025P09Rik	0.282656673	0.9998431
Nudt16	0.282701477	0.9998431
Mir6962	0.282734452	0.9998431
Cenpt	0.282737998	0.9998431
Gpr183	0.282747087	0.9998431
SlcUbl4a	0.282771274	0.9998431
Srpx2	0.282805097	0.9998431
LOC105245869	0.282816531	0.9998431
Sh3d19	0.282850056	0.9998431
Gm15612	0.282952051	0.9998431
1700020I14Rik	0.283112495	0.9998431
9330162012Rik	0.283251301	0.9998431
Hdgfrp3	0.283325453	0.9998431
Tmem26	0.283479727	0.9998431
Crtap	0.283519939	0.9998431
Lars	0.283533556	0.9998431
Spag8	0.283599191	0.9998431
Fam46b	0.28363271	0.9998431
Iigp1	0.283769232	0.9998431
Elavl4	0.283780332	0.9998431
Fkbp2	0.283812732	0.9998431
Jakmip1	0.283824561	0.9998431
Med16	0.283826235	0.9998431
Mrps25	0.283850995	0.9998431
Carhsp1	0.283851049	0.9998431
Mir1904	0.284208244	0.9998431
Lppos	0.284239567	0.9998431
Cpb2	0.284264357	0.9998431
Camk2b	0.284339835	0.9998431
Dlgap1	0.284357773	0.9998431
Sgpp1	0.284358718	0.9998431
Rab33a	0.284413824	0.9998431
Rgs9bp	0.284416019	0.9998431
Kcnd2	0.284481109	0.9998431
Zfp65	0.284499392	0.9998431
1700051A21Rik	0.284537788	0.9998431
Mir1960	0.28473784	0.9998431
Xist	0.284957063	0.9998431
9330182L06Rik	0.284982539	0.9998431
Col27a1	0.284984911	0.9998431
Zfp729a	0.285054136	0.9998431
1700028E10Rik	0.285069253	0.9998431
Pus7	0.285163112	0.9998431
Mef2d	0.285205621	0.9998431
Izumo1r	0.285269853	0.9998431
Gan	0.2852777	0.9998431
Terf2ip	0.285305449	0.9998431
Cenpw	0.285309145	0.9998431
Gm14015	0.285385215	0.9998431
Gm3985	0.285400151	0.9998431
